mutation_id	sample_id	cluster_id	cellular_prevalence	cellular_prevalence_std	cluster_assignment_prob
<<<<<<< HEAD
S_1019	example	0	0.6602	0.0068	0.5311
S_1020	example	0	0.6602	0.0068	0.6205
S_1095	example	0	0.6602	0.0068	0.5136
S_1111	example	0	0.6602	0.0068	0.6380
S_1127	example	0	0.6602	0.0068	0.4786
S_1160	example	0	0.6602	0.0068	0.7665
S_1180	example	0	0.6602	0.0068	0.6933
S_1209	example	0	0.6602	0.0068	0.7541
S_1265	example	0	0.6602	0.0068	0.7763
S_1284	example	0	0.6602	0.0068	0.6838
S_1403	example	0	0.6602	0.0068	0.5982
S_1476	example	0	0.6602	0.0068	0.7398
S_1548	example	0	0.6602	0.0068	0.6254
S_1570	example	0	0.6602	0.0068	0.5654
S_1584	example	0	0.6602	0.0068	0.6292
S_1628	example	0	0.6602	0.0068	0.4956
S_1664	example	0	0.6602	0.0068	0.7611
S_1667	example	0	0.6602	0.0068	0.5390
S_171	example	0	0.6602	0.0068	0.7823
S_1737	example	0	0.6602	0.0068	0.7392
S_1743	example	0	0.6602	0.0068	0.4870
S_1767	example	0	0.6602	0.0068	0.5718
S_1774	example	0	0.6602	0.0068	0.6923
S_1816	example	0	0.6602	0.0068	0.4956
S_1853	example	0	0.6602	0.0068	0.5401
S_1860	example	0	0.6602	0.0068	0.4765
S_195	example	0	0.6602	0.0068	0.4870
S_2042	example	0	0.6602	0.0068	0.4786
S_2091	example	0	0.6602	0.0068	0.8369
S_2117	example	0	0.6602	0.0068	0.4870
S_2140	example	0	0.6602	0.0068	0.5982
S_2157	example	0	0.6602	0.0068	0.8106
S_2164	example	0	0.6602	0.0068	0.5401
S_2243	example	0	0.6602	0.0068	0.6923
S_2306	example	0	0.6602	0.0068	0.5401
S_2308	example	0	0.6602	0.0068	0.4956
S_2316	example	0	0.6602	0.0068	0.5225
S_2361	example	0	0.6602	0.0068	0.6497
S_2375	example	0	0.6602	0.0068	0.5477
S_2396	example	0	0.6602	0.0068	0.7095
S_2460	example	0	0.6602	0.0068	0.5390
S_2545	example	0	0.6602	0.0068	0.5044
S_256	example	0	0.6602	0.0068	0.4854
S_2619	example	0	0.6602	0.0068	0.5390
S_2620	example	0	0.6602	0.0068	0.5136
S_2640	example	0	0.6602	0.0068	0.5401
S_2660	example	0	0.6602	0.0068	0.8427
S_2685	example	0	0.6602	0.0068	0.6582
S_2698	example	0	0.6602	0.0068	0.8031
S_2772	example	0	0.6602	0.0068	0.6292
S_2784	example	0	0.6602	0.0068	0.8676
S_2828	example	0	0.6602	0.0068	0.5136
S_2830	example	0	0.6602	0.0068	0.6023
S_2870	example	0	0.6602	0.0068	0.7021
S_2885	example	0	0.6602	0.0068	0.8349
S_2925	example	0	0.6602	0.0068	0.5585
S_2945	example	0	0.6602	0.0068	0.7599
S_2959	example	0	0.6602	0.0068	0.4786
S_3045	example	0	0.6602	0.0068	0.8186
S_3119	example	0	0.6602	0.0068	0.5565
S_3128	example	0	0.6602	0.0068	0.6380
S_3254	example	0	0.6602	0.0068	0.7599
S_3261	example	0	0.6602	0.0068	0.4956
S_3276	example	0	0.6602	0.0068	0.7940
S_3279	example	0	0.6602	0.0068	0.7398
S_3380	example	0	0.6602	0.0068	0.7652
S_341	example	0	0.6602	0.0068	0.8686
S_3419	example	0	0.6602	0.0068	0.4956
S_3431	example	0	0.6602	0.0068	0.8052
S_3435	example	0	0.6602	0.0068	0.7599
S_3442	example	0	0.6602	0.0068	0.6032
S_3454	example	0	0.6602	0.0068	0.6469
S_3481	example	0	0.6602	0.0068	0.5136
S_352	example	0	0.6602	0.0068	0.4956
S_3530	example	0	0.6602	0.0068	0.5044
S_3541	example	0	0.6602	0.0068	0.5982
S_361	example	0	0.6602	0.0068	0.7095
S_3630	example	0	0.6602	0.0068	0.5745
S_3672	example	0	0.6602	0.0068	0.4786
S_371	example	0	0.6602	0.0068	0.6735
S_3743	example	0	0.6602	0.0068	0.6933
S_3827	example	0	0.6602	0.0068	0.7997
S_3836	example	0	0.6602	0.0068	0.7731
S_3846	example	0	0.6602	0.0068	0.6469
S_3858	example	0	0.6602	0.0068	0.5654
S_3861	example	0	0.6602	0.0068	0.7841
S_3870	example	0	0.6602	0.0068	0.5565
S_3878	example	0	0.6602	0.0068	0.8777
S_3961	example	0	0.6602	0.0068	0.6852
S_3962	example	0	0.6602	0.0068	0.6072
S_4006	example	0	0.6602	0.0068	0.6254
S_4012	example	0	0.6602	0.0068	0.5051
S_4031	example	0	0.6602	0.0068	0.5718
S_4049	example	0	0.6602	0.0068	0.5223
S_4085	example	0	0.6602	0.0068	0.5565
S_4090	example	0	0.6602	0.0068	0.5654
S_4132	example	0	0.6602	0.0068	0.5565
S_4158	example	0	0.6602	0.0068	0.5223
S_4226	example	0	0.6602	0.0068	0.5565
S_425	example	0	0.6602	0.0068	0.5311
S_4250	example	0	0.6602	0.0068	0.7099
